MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),IRL,Ireland,2019,2019,NBR,Number,0,Units,,,90.8789,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),IRL,Ireland,2020,2020,NBR,Number,0,Units,,,113.4139,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ITA,Italy,2015,2015,NBR,Number,0,Units,,,301.6299,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ITA,Italy,2016,2016,NBR,Number,0,Units,,,302.9131,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ITA,Italy,2017,2017,NBR,Number,0,Units,,,307.1967,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ITA,Italy,2018,2018,NBR,Number,0,Units,,,323.158,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ITA,Italy,2019,2019,NBR,Number,0,Units,,,294.2074,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ITA,Italy,2020,2020,NBR,Number,0,Units,,,359.556,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),JPN,Japan,2015,2015,NBR,Number,0,Units,,,10301.4579,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),JPN,Japan,2016,2016,NBR,Number,0,Units,,,10762.3275,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),JPN,Japan,2017,2017,NBR,Number,0,Units,,,11189.5236,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),JPN,Japan,2018,2018,NBR,Number,0,Units,,,12102.7593,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),JPN,Japan,2019,2019,NBR,Number,0,Units,,,11987.7418,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),JPN,Japan,2020,2020,NBR,Number,0,Units,,,11871.8173,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),KOR,Korea,2015,2015,NBR,Number,0,Units,,,5360.8996,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),KOR,Korea,2016,2016,NBR,Number,0,Units,,,4951.582,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),KOR,Korea,2017,2017,NBR,Number,0,Units,,,5266.6482,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),KOR,Korea,2018,2018,NBR,Number,0,Units,,,6159.0013,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),KOR,Korea,2019,2019,NBR,Number,0,Units,,,7175.3346,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),KOR,Korea,2020,2020,NBR,Number,0,Units,,,6839.6238,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),LUX,Luxembourg,2015,2015,NBR,Number,0,Units,,,7.2833,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),LUX,Luxembourg,2016,2016,NBR,Number,0,Units,,,24.2,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),LUX,Luxembourg,2017,2017,NBR,Number,0,Units,,,19.3167,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),LUX,Luxembourg,2018,2018,NBR,Number,0,Units,,,15.9667,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),LUX,Luxembourg,2019,2019,NBR,Number,0,Units,,,11.1095,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),LUX,Luxembourg,2020,2020,NBR,Number,0,Units,,,16.2833,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),MEX,Mexico,2015,2015,NBR,Number,0,Units,,,49.1095,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),MEX,Mexico,2016,2016,NBR,Number,0,Units,,,43.4071,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),MEX,Mexico,2017,2017,NBR,Number,0,Units,,,41.6998,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),MEX,Mexico,2018,2018,NBR,Number,0,Units,,,19.3643,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),MEX,Mexico,2019,2019,NBR,Number,0,Units,,,19.25,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),MEX,Mexico,2020,2020,NBR,Number,0,Units,,,16.0386,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NLD,Netherlands,2015,2015,NBR,Number,0,Units,,,577.2683,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NLD,Netherlands,2016,2016,NBR,Number,0,Units,,,524.1972,,
