MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_FBXGDP,Business-financed GERD as a percentage of GDP,IRL,Ireland,2019,2019,PC,Percentage,0,Units,,,0.76997983156299,e; p,Estimated value; Provisional value
G_FBXGDP,Business-financed GERD as a percentage of GDP,IRL,Ireland,2021,2021,PC,Percentage,0,Units,,,0.6166821398118,b,Time series break
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2015,2015,PC,Percentage,0,Units,,,0.66916159977769,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2016,2016,PC,Percentage,0,Units,,,0.71157842483501,b,Time series break
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2017,2017,PC,Percentage,0,Units,,,0.73555009556644,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2018,2018,PC,Percentage,0,Units,,,0.7763000064582,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2019,2019,PC,Percentage,0,Units,,,0.81760745076179,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2020,2020,PC,Percentage,0,Units,,,0.79626812418081,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,ITA,Italy,2021,2021,PC,Percentage,0,Units,,,0.78384062341519,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2015,2015,PC,Percentage,0,Units,,,2.52685665897754,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2016,2016,PC,Percentage,0,Units,,,2.42591674770916,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2017,2017,PC,Percentage,0,Units,,,2.47819835717889,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2018,2018,PC,Percentage,0,Units,,,2.54505245045139,b,Time series break
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2019,2019,PC,Percentage,0,Units,,,2.53959432224649,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2020,2020,PC,Percentage,0,Units,,,2.55979642444272,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,JPN,Japan,2021,2021,PC,Percentage,0,Units,,,2.57307201053989,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2015,2015,PC,Percentage,0,Units,,,2.9655844552938,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2016,2016,PC,Percentage,0,Units,,,3.00703584797616,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2017,2017,PC,Percentage,0,Units,,,3.27201330799355,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2018,2018,PC,Percentage,0,Units,,,3.46133304024608,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2019,2019,PC,Percentage,0,Units,,,3.56048971711092,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2020,2020,PC,Percentage,0,Units,,,3.67229856153702,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,KOR,Korea,2021,2021,PC,Percentage,0,Units,,,3.75265097612019,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,LUX,Luxembourg,2015,2015,PC,Percentage,0,Units,,,0.60451804932424,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,LUX,Luxembourg,2017,2017,PC,Percentage,0,Units,,,0.61424698168007,,
